"Cleaned_Measure","reporter_desc","partner_desc","Total_Net_Wgt"
"Export","Brazil","Antigua and Barbuda",77
"Export","Brazil","United Kingdom",329
"Import","Brazil","Spain",3776
"Export","Brazil","Malta",984
"Export","Brazil","China, Hong Kong SAR",747
"Export","Brazil","Uruguay",339748
"Export","Brazil","Chile",341968
"Export","Brazil","Areas, nes",81
"Export","Brazil","Ireland",21
"Export","Brazil","China",122
"Import","Brazil","Ecuador",1402937
"Export","Brazil","Bahamas",471
"Export","Brazil","Thailand",240
"Export","Brazil","Singapore",1426
"Export","Brazil","Marshall Isds",3223.719
"Export","Brazil","Liberia",2852.438
"Export","Brazil","Luxembourg",45
"Export","Brazil","Denmark",300
"Export","Brazil","Netherlands",30
"Export","Brazil","Barbados",16
"Export","Brazil","Japan",142
"Export","Brazil","Cyprus",696
"Export","Brazil","Saudi Arabia",22
"Export","Brazil","USA",19
"Export","Brazil","Argentina",1641558
"Export","Brazil","Switzerland",133
"Export","Brazil","Greece",570
"Import","Belize","USA",9313.971
"Import","Belize","Mexico",50693.391
"Import","Brunei Darussalam","Thailand",72374
"Import","Brunei Darussalam","Malaysia",70850.247
"Import","Brunei Darussalam","United Kingdom",369
"Export","Brunei Darussalam","Malaysia",443.76
"Import","Brunei Darussalam","Japan",19.68
"Export","Bulgaria","North Macedonia",15000
"Import","Bulgaria","Germany",456201
"Import","Bulgaria","Romania",28920
"Import","Bulgaria","Spain",583183
"Export","Bulgaria","Slovakia",8894
"Export","Bulgaria","Romania",169654
"Import","Bulgaria","Italy",152032.443
"Import","Bulgaria","Viet Nam",87222
"Import","Bulgaria","Philippines",70077
"Import","Bulgaria","Indonesia",240658
"Export","Bulgaria","Italy",280
"Import","Burundi","Belgium",14621.2
"Import","Belarus","Thailand",31968
"Import","Belarus","Russian Federation",81517
"Import","Cambodia","Thailand",262842.06
"Import","Cambodia","Japan",5440.88
"Import","Cambodia","Rep. of Korea",21959.52
"Import","Cambodia","Singapore",34032
"Import","Cambodia","Other Asia, nes",693.6
"Import","Cambodia","France",900
"Import","Canada","Philippines",2091786.624
"Import","Canada","Türkiye",526
"Export","Canada","Fiji",2840
"Import","Canada","Morocco",103766
"Import","Canada","Indonesia",2000160.63
"Export","Canada","Suriname",2279
"Export","Canada","Saint Pierre and Miquelon",1617
"Import","Canada","Mexico",3552
"Import","Canada","Br. Virgin Isds",5931
"Import","Canada","Portugal",77618
"Import","Canada","France",12084
"Import","Canada","Viet Nam",6477626
"Import","Canada","Italy",6235606
"Import","Canada","Suriname",2279
"Import","Canada","China",43618
"Import","Canada","Fiji",3732
"Export","Canada","Br. Virgin Isds",5931
"Import","Canada","USA",367769.628
"Import","Canada","Sint Maarten",4906
"Import","Canada","Japan",50908.624
"Import","Canada","Spain",112291.876
"Import","Canada","Rep. of Korea",259088
"Export","Canada","USA",224875
"Import","Canada","Other Asia, nes",46456
"Export","Canada","Sint Maarten",4906
"Import","Canada","Thailand",54166296.304
"Import","Canada","Saint Pierre and Miquelon",279
"Import","Chile","Spain",456330.84
"Import","Chile","China",2648833.7
"Import","Chile","Thailand",9207480.5
"Import","Chile","Ecuador",13826217
"Import","Chile","Brazil",609626.4
"Import","Chile","Viet Nam",688088.644
"Export","Chile","Areas, nes",6259.425
"Import","Chile","Indonesia",184320
"Export","China","Lebanon",746792
"Import","China","Rep. of Korea",873855
"Export","China","Libya",594150
"Export","China","Algeria",11195700
"Export","China","Bosnia Herzegovina",61824
"Export","China","Dominican Rep.",436524
"Export","China","Portugal",5094000
"Import","China","Spain",106947
"Export","China","Oman",952680
"Export","China","Mauritius",13466
"Import","China","Thailand",1203295
"Import","China","Portugal",4320
"Export","China","Rep. of Korea",25227
"Export","China","Vanuatu",200697
"Export","China","Papua New Guinea",506736
"Export","China","Russian Federation",1519225
"Export","China","French Polynesia",59135
"Import","China","Latvia",9
"Export","China","Qatar",55314
"Export","China","Japan",2350778
"Export","China","Venezuela",454440
"Export","China","USA",4100129
"Import","China","USA",15245
"Export","China","Panama",890611
"Export","China","Other Asia, nes",3281922
"Export","China","Samoa",758942
"Export","China","Ecuador",1706166
"Export","China","Serbia",53864
"Import","China","Philippines",755050
"Export","China","Israel",4722780
"Export","China","Georgia",74724
"Export","China","New Zealand",32372
"Export","China","Somalia",57916
"Export","China","Mexico",14524612
"Export","China","Netherlands",127501
"Export","China","Malaysia",2235097
"Export","China","Angola",234624
"Export","China","Viet Nam",3659250
"Export","China","Fiji",497952
"Export","China","Chile",1939379
"Export","China","Thailand",33089620
"Import","China","Italy",50645
"Export","China","China, Hong Kong SAR",107829
"Export","China","Jordan",1305324
"Export","China","Türkiye",2498262
"Export","China","Australia",287960
"Export","China","Paraguay",48384
"Export","China","South Africa",739675
"Export","China","Spain",22468352
"Import","Colombia","Ecuador",22556566.58
"Export","Colombia","Italy",1359449
"Import","Colombia","Free Zones",10893099.8
"Import","Colombia","USA",730.87
"Import","Colombia","Costa Rica",373222
"Export","Colombia","Spain",851107.5
"Import","Colombia","El Salvador",121461
"Import","Dem. Rep. of the Congo","China",49340
"Import","Dem. Rep. of the Congo","Belgium",59212
"Import","Croatia","Slovenia",99235.32
"Export","Croatia","Sweden",1615.222
"Export","Croatia","Ukraine",16932.24
"Export","Croatia","Slovenia",103783.332
"Export","Croatia","Bosnia Herzegovina",109738.56
"Export","Croatia","USA",10288.2
"Export","Croatia","Czechia",26252.2
"Export","Croatia","Poland",598.705
"Export","Croatia","Serbia",80373.8
"Import","Croatia","Czechia",70960.4
"Import","Croatia","Austria",105085.894
"Import","Croatia","Spain",610376.24
"Import","Croatia","Italy",1390646.232
"Export","Croatia","Russian Federation",4888.86
"Export","Croatia","Netherlands",92.565
"Import","Croatia","Germany",555188.22
"Import","Croatia","Viet Nam",134322.2
"Export","Croatia","Germany",19874.17
"Export","Croatia","North Macedonia",27765.79
"Export","Croatia","Nigeria",945
"Import","Croatia","Netherlands",313939.18
"Import","Croatia","Papua New Guinea",17033
"Export","Croatia","Montenegro",46503.67
"Import","Cyprus","Viet Nam",810879
"Import","Cyprus","Greece",272120
"Import","Cyprus","Thailand",24816
"Import","Cyprus","Spain",64298
"Import","Cyprus","Seychelles",73941
"Import","Cyprus","Netherlands",138902
"Import","Cyprus","Italy",35643
"Import","Czechia","Philippines",159689.652
"Import","Czechia","Italy",1853557.606
"Export","Czechia","Austria",70.875
"Export","Czechia","Lithuania",180084
"Export","Czechia","Hungary",218979
"Import","Czechia","France",20507
"Export","Czechia","Croatia",61389
"Export","Czechia","Romania",15883
"Import","Czechia","Portugal",271631
"Import","Czechia","Mauritius",185881
"Import","Czechia","Spain",1555500.503
"Import","Czechia","Poland",83177
"Import","Czechia","India",22
"Import","Czechia","Ecuador",1642704
"Export","Czechia","Poland",42710
"Import","Czechia","Sri Lanka",22572
"Export","Czechia","Slovakia",1269753
"Import","Czechia","Slovakia",35938.756
"Import","Czechia","Croatia",53319
"Import","Czechia","Hungary",365
"Export","Czechia","Italy",24
"Import","Czechia","Viet Nam",349525
"Import","Czechia","Thailand",58902
"Import","Czechia","Maldives",13498
"Import","Czechia","Germany",1359607
"Export","Czechia","Germany",17190
"Import","Benin","Netherlands",4364.17
"Import","Benin","Lebanon",3912.65
"Import","Benin","France",18847.28
"Import","Denmark","Italy",11198
"Export","Denmark","France",8008
"Import","Denmark","Mauritius",750339
"Import","Denmark","Viet Nam",447945
"Export","Denmark","Iceland",48929
"Import","Denmark","Netherlands",1532661
"Import","Denmark","Germany",1280383
"Export","Denmark","Norway",32812
"Import","Denmark","Seychelles",372891
"Import","Denmark","Colombia",714312
"Import","Denmark","Thailand",513993
"Import","Denmark","Spain",196341
"Import","Denmark","Sweden",142997
"Export","Denmark","Faeroe Isds",11830
"Import","Denmark","Ghana",168733
"Import","Denmark","Madagascar",17088
"Export","Denmark","Greenland",16756
"Export","Denmark","Finland",2470
"Import","Denmark","France",63944
"Export","Denmark","Germany",30054
"Export","Denmark","Sweden",245874
"Import","Dominican Rep.","USA",87534.56
"Import","Dominican Rep.","Italy",1927.68
"Import","Dominican Rep.","Spain",263641.434
"Import","Dominican Rep.","Costa Rica",736285.68
"Export","Dominican Rep.","Poland",921.93
"Import","Dominican Rep.","Ecuador",1391946.74
"Export","Dominican Rep.","USA",11157.47
"Import","Dominican Rep.","Thailand",5199987.936
"Import","Dominican Rep.","China",1652583.76
"Export","Dominican Rep.","Turks and Caicos Isds",1079
"Import","Dominican Rep.","Brazil",1870784.52
"Export","Ecuador","Romania",79476
"Export","Ecuador","Iceland",7392
"Export","Ecuador","France",1046328
"Export","Ecuador","Dominican Rep.",10224
"Export","Ecuador","Slovenia",15360
"Export","Ecuador","Portugal",611739.8
"Export","Ecuador","Netherlands",465949
"Export","Ecuador","Czechia",86400
"Export","Ecuador","Poland",228533.3
"Export","Ecuador","Ireland",70603.2
"Export","Ecuador","Belgium",189874.4
"Export","Ecuador","Spain",4969674.5
"Export","Ecuador","Algeria",167425
"Export","Ecuador","Brazil",299596.6
"Export","Ecuador","Panama",27148.8
"Export","Ecuador","Russian Federation",36674.4
"Export","Ecuador","Uruguay",184977.3
"Export","Ecuador","Finland",40608
"Export","Ecuador","Venezuela",15168
"Export","Ecuador","Lithuania",58985.42
"Export","Ecuador","Sweden",13038
"Export","Ecuador","Ukraine",14265.6
"Export","Ecuador","Italy",1266996.7
"Export","Ecuador","Denmark",17283.2
"Export","Ecuador","Germany",411658.44
"Export","Ecuador","Colombia",1815625.04
"Export","Ecuador","Peru",211180.6
"Export","Ecuador","Paraguay",6936
"Export","Ecuador","United Kingdom",1251770
"Export","Ecuador","Chile",1011805.7
"Export","Ecuador","Greece",149208.38
"Export","Ecuador","Argentina",1862649.4
"Export","Ecuador","USA",1541795.92
"Export","Ecuador","Costa Rica",25499.64
"Export","El Salvador","United Kingdom",85733
"Export","El Salvador","Costa Rica",4503173
"Export","El Salvador","Italy",5466673
"Export","El Salvador","Denmark",226851
"Export","El Salvador","Colombia",153104
"Export","El Salvador","Dominican Rep.",17431
"Export","El Salvador","Panama",1216164
"Export","El Salvador","France",489414
"Import","El Salvador","Costa Rica",541556.6
"Export","El Salvador","USA",553806.5
"Import","El Salvador","Spain",21.95
"Export","El Salvador","Spain",4066935.6
"Export","El Salvador","Germany",493687
"Export","El Salvador","Finland",364691
"Export","El Salvador","Guatemala",634389
"Export","El Salvador","Nicaragua",434493
"Export","El Salvador","Honduras",94911
"Import","Estonia","Papua New Guinea",2664.37
"Import","Estonia","Latvia",9308.81
"Import","Estonia","Viet Nam",10323.255
"Import","Estonia","Philippines",9199.68
"Import","Estonia","Finland",22506.02
"Import","Estonia","Germany",18843
"Import","Estonia","Seychelles",1035.18
"Import","Estonia","Mauritius",12778.32
"Import","Estonia","Spain",50843.275
"Export","Estonia","Latvia",568.98
"Import","Estonia","Thailand",89215.7
"Export","Estonia","Norway",260.9
"Import","Estonia","Lithuania",23779.435
"Export","Estonia","Finland",2935.33
"Export","Fiji","Vanuatu",157405.9
"Export","Fiji","Kiribati",8486.4
"Import","Fiji","Tonga",1668.63
"Export","Fiji","Tonga",53275.43
"Import","Fiji","USA",10404994
"Import","Fiji","Papua New Guinea",895640
"Export","Fiji","Tuvalu",6788.8
"Import","Fiji","Thailand",332911.5
"Export","Fiji","USA",10409749.84
"Import","Fiji","Tuvalu",5056.8
"Import","Finland","Philippines",893221
"Import","Finland","Viet Nam",501812
"Import","Finland","Germany",123237
"Import","Finland","Netherlands",379378
"Import","Finland","Spain",1053059
"Import","Finland","Mauritius",1756677
"Import","Finland","Sweden",45042
"Export","Finland","Estonia",16016
"Import","Finland","Austria",1199
"Export","Finland","Russian Federation",60
"Import","Finland","Seychelles",406192
"Import","Finland","Estonia",4593
"Import","Finland","Maldives",43838
"Import","Finland","Italy",38791
"Import","Finland","Thailand",2100644
"Export","France","United Kingdom",138256.63
"Export","France","Tunisia",920
"Import","France","Portugal",1217911
"Export","France","Slovenia",58720
"Export","France","Ireland",3091
"Import","France","Madagascar",1959729
"Import","France","Papua New Guinea",2601141
"Import","France","Luxembourg",109
"Import","France","Ecuador",11256383
"Export","France","Romania",53965
"Import","France","Ghana",7282008
"Export","France","Cambodia",11039
"Import","France","Türkiye",17491
"Export","France","Portugal",107566
"Export","France","Netherlands",1137700
"Import","France","Netherlands",14830441
"Import","France","Tunisia",121567
"Export","France","Germany",544753
"Import","France","China",381972
"Import","France","Morocco",264717
"Export","France","Hungary",52067
"Export","France","Côte d'Ivoire",186653
"Export","France","Rep. of Korea",378
"Import","France","Spain",19252085
"Export","France","United Arab Emirates",197
"Import","France","Mauritius",1892450
"Export","France","Mauritius",403
"Export","France","Poland",7758
"Export","France","Luxembourg",43422
"Export","France","Italy",274147
"Import","France","Viet Nam",554350
"Export","France","Wallis and Futuna Isds",2990
"Import","France","Germany",1053955
"Export","France","Spain",80649
"Import","France","Seychelles",20542266
"Import","France","Indonesia",251182
"Import","France","Belgium",1096919
"Export","France","Denmark",4581
"Import","France","Latvia",11518
"Export","France","New Caledonia",8180
"Export","France","Gabon",55018
"Export","France","Lithuania",11451
"Export","France","Belgium",1174884
"Import","France","Maldives",218776
"Export","France","Sint Maarten",10903.473
"Export","France","Czechia",37149
"Import","France","Côte d'Ivoire",9737426
"Export","France","Areas, nes",5210
"Export","France","Mali",28076
"Export","France","Switzerland",16267.695
"Export","France","Guinea",1643
"Import","France","Italy",427179
"Import","France","Thailand",2096482
"Export","France","French Polynesia",15188
"Export","France","Niger",2116
"Export","France","Iceland",3
"Export","France","Austria",64090
"Export","France","Central African Rep.",673
"Import","France","Austria",2036
"Import","French Polynesia","Papua New Guinea",328.32
"Import","French Polynesia","Spain",37522.67
"Import","French Polynesia","Ghana",1331.802
"Import","French Polynesia","Portugal",121.68
"Export","French Polynesia","Areas, nes",14.04
"Import","French Polynesia","Côte d'Ivoire",4863.67
"Import","French Polynesia","Seychelles",13005.956
"Import","French Polynesia","Thailand",164221.092
"Import","French Polynesia","Italy",614.4
"Import","French Polynesia","China",35996
"Import","French Polynesia","France",4409.752
"Import","Georgia","Russian Federation",23763.44
"Export","State of Palestine","Israel",26327.627
"Import","State of Palestine","Jordan",1883.556
"Import","State of Palestine","Thailand",2283790.88
"Import","State of Palestine","Israel",171229.064
"Import","State of Palestine","Japan",158431.646
"Export","Germany","France",1023603
"Import","Germany","Madagascar",4134770
"Export","Germany","Slovenia",192750
"Export","Germany","Bulgaria",57535
"Export","Germany","Dominican Rep.",235
"Import","Germany","Saudi Arabia",4
"Export","Germany","Serbia",8743
"Import","Germany","Viet Nam",4399003
"Export","Germany","Luxembourg",67364
"Export","Germany","Belgium",1914565
"Import","Germany","Côte d'Ivoire",91159
"Export","Germany","Romania",343852
"Import","Germany","Philippines",16705778
"Export","Germany","Spain",201897
"Export","Germany","United Kingdom",30051
"Export","Germany","Mauritius",123
"Export","Germany","Finland",285125
"Export","Germany","Slovakia",109510
"Export","Germany","Latvia",24482
"Import","Germany","Lebanon",1172
"Import","Germany","Czechia",25
"Export","Germany","Switzerland",80922
"Import","Germany","Poland",75668
"Import","Germany","Rep. of Korea",8924.194
"Import","Germany","Ghana",5768116
"Export","Germany","Croatia",273890
"Export","Germany","Denmark",1069180
"Export","Germany","Czechia",296614
"Export","Germany","Portugal",252243
"Export","Germany","Ireland",1191
"Import","Germany","France",3050612
"Import","Germany","Maldives",2473360
"Import","Germany","Denmark",18917
"Import","Germany","Netherlands",14048873
"Import","Germany","Other Asia, nes",464
"Export","Germany","Japan",2
"Export","Germany","Lithuania",25951
"Import","Germany","Italy",4785161
"Import","Germany","Sri Lanka",12768
"Export","Germany","Sweden",24153
"Import","Germany","Mauritius",339457
"Import","Germany","Ecuador",7440473.248
"Export","Germany","Azerbaijan",64
"Import","Germany","Belgium",36945
"Export","Germany","Chile",339
"Export","Germany","Bunkers",52946
"Export","Germany","Argentina",337
"Import","Germany","Thailand",573044.203
"Import","Germany","Japan",2825.849
"Export","Germany","Georgia",3626
"Export","Germany","Hungary",374239
"Export","Germany","Italy",405460
"Import","Germany","Switzerland",1.481
"Export","Germany","Mongolia",511
"Export","Germany","Austria",3150903
"Export","Germany","Rep. of Korea",16
"Import","Germany","Morocco",68633
"Export","Germany","Poland",1405969
"Export","Germany","Netherlands",2379529
"Export","Germany","Kuwait",376
"Import","Germany","Sweden",3229
"Import","Germany","Spain",2817708
"Export","Germany","Norway",67
"Export","Germany","South Africa",195
"Export","Germany","United Arab Emirates",174
"Import","Germany","Portugal",1063031
"Export","Germany","Estonia",60326
"Import","Germany","Tunisia",5643
"Import","Germany","Austria",2044694
"Import","Germany","Türkiye",35011
"Export","Germany","Pakistan",11
"Import","Germany","Papua New Guinea",22885232.26
"Import","Germany","Greece",1067
"Import","Germany","Norway",6.684
"Import","Germany","Indonesia",3578
"Export","Ghana","France",11549934
"Export","Ghana","United Kingdom",17316718
"Import","Ghana","Canada",6311.2
"Export","Ghana","Netherlands",2378072.6
"Import","Ghana","United Kingdom",104297.934
"Export","Ghana","Spain",1612895.6
"Export","Ghana","Germany",11780724
"Import","Ghana","France",34810.76
"Export","Ghana","Ireland",644807
"Import","Ghana","Togo",16773.94
"Import","Ghana","Thailand",1384964.3
"Import","Ghana","USA",12501.088
"Export","Ghana","Italy",4682960
"Import","Ghana","South Africa",1053.86
"Export","Greece","Bulgaria",23029
"Import","Greece","Seychelles",52763
"Export","Greece","Ireland",1290
"Export","Greece","Netherlands",44
"Import","Greece","Netherlands",999535
"Import","Greece","Germany",12240
"Export","Greece","Sweden",562
"Export","Greece","Ukraine",28293
"Export","Greece","Cyprus",348115
"Import","Greece","Italy",2554009
"Import","Greece","Papua New Guinea",691868
"Export","Greece","Poland",51489
"Import","Greece","Philippines",680263
"Import","Greece","Ecuador",961793
"Export","Greece","Czechia",4225
"Import","Greece","Portugal",179279
"Export","Greece","Germany",18062
"Export","Greece","Austria",8626
"Import","Greece","Spain",399627
"Export","Greece","Romania",5369
"Import","Greece","Thailand",679645
"Export","Greece","Belgium",15755
"Import","Grenada","Canada",20071
"Import","Grenada","USA",19803
"Import","Guatemala","Costa Rica",1211389
"Import","Guatemala","Rep. of Korea",1330
"Import","Guatemala","USA",7534
"Import","Guatemala","El Salvador",624121
"Export","Guatemala","Spain",9231172
"Import","Guatemala","Spain",638566
"Import","Guyana","Canada",51456
"Import","Guyana","Panama",2565
"Import","Guyana","Thailand",489898.77
"Import","China, Hong Kong SAR","Italy",6811
"Import","China, Hong Kong SAR","Thailand",1963366
"Import","China, Hong Kong SAR","India",40500
"Import","China, Hong Kong SAR","United Kingdom",20038
"Import","China, Hong Kong SAR","China",283484
"Import","China, Hong Kong SAR","Philippines",113372
"Import","China, Hong Kong SAR","Spain",4171
"Import","China, Hong Kong SAR","Viet Nam",503134
"Import","China, Hong Kong SAR","Rep. of Korea",35053
"Import","China, Hong Kong SAR","Japan",71045
"Import","China, Hong Kong SAR","China, Macao SAR",5035
"Export","China, Hong Kong SAR","China, Macao SAR",210231
"Export","Hungary","Italy",233
"Import","Hungary","Italy",1224281.3
"Import","Hungary","Thailand",4928
"Export","Hungary","Senegal",8
"Import","Hungary","France",51121.32
"Export","Hungary","Slovakia",3971.07
"Import","Hungary","Germany",1084824.5
"Import","Hungary","United Kingdom",36
"Export","Hungary","Romania",14193.895
"Export","Hungary","Serbia",57264
"Export","Hungary","Luxembourg",83
"Import","Hungary","Czechia",222654.8
"Export","Hungary","Czechia",9737
"Import","Hungary","Slovakia",242108.29
"Import","Hungary","Romania",7162
"Export","Hungary","Austria",32651.64
"Import","Hungary","Spain",212336.769
"Import","Hungary","Austria",166238.596
"Import","Iceland","Thailand",281427
"Export","Iceland","Greenland",11
"Import","Iceland","Poland",380
"Import","Iceland","Spain",8462
"Import","Iceland","Ecuador",57407
"Import","Iceland","Germany",7979
"Import","Indonesia","Ghana",9
"Export","Indonesia","Japan",1940928
"Export","Indonesia","Germany",47637.7
"Export","Indonesia","Timor-Leste",102999.8
"Export","Indonesia","Netherlands",84168.3
"Export","Indonesia","Croatia",63211.2
"Export","Indonesia","USA",1889681.71
"Export","Indonesia","Ukraine",16128
"Export","Indonesia","Thailand",3392567.92
"Export","Indonesia","Canada",527435.102
"Import","Indonesia","Philippines",1
"Export","Indonesia","Libya",132340.8
"Export","Indonesia","Montenegro",112320
"Export","Indonesia","United Kingdom",1060682.4
"Export","Indonesia","Malaysia",47856.3
"Export","Indonesia","Jordan",294024
"Export","Indonesia","Papua New Guinea",111384
"Export","Indonesia","Bahrain",13464
"Export","Indonesia","Saudi Arabia",4500473
"Export","Indonesia","Bulgaria",74435.6
"Export","Indonesia","Australia",1849497.8
"Import","Ireland","Italy",19047
"Import","Ireland","China",331
"Import","Ireland","Ecuador",1370769
"Import","Ireland","Seychelles",572789
"Import","Ireland","Ghana",287360
"Import","Ireland","Mauritius",169809
"Import","Ireland","Poland",3462
"Export","Ireland","United Kingdom",54526
"Import","Ireland","United Kingdom",45102
"Import","Ireland","Germany",665591
"Import","Ireland","Peru",239417
"Import","Ireland","Philippines",79498
"Import","Ireland","France",5299
"Import","Ireland","Spain",298759
"Export","Ireland","Portugal",1312
"Import","Ireland","Slovakia",5
"Import","Israel","Viet Nam",3721329.407
"Import","Israel","Italy",1559103.161
"Import","Israel","Thailand",12004431.567
"Import","Israel","China",4468844.374
"Import","Israel","Spain",380724.067
"Import","Israel","Rep. of Korea",1207.103
"Import","Israel","Türkiye",1821666.6
"Import","Israel","Latvia",28940.944
"Import","Israel","Portugal",65080.675
"Export","Italy","Serbia",1220648
"Export","Italy","Albania",1514032
"Export","Italy","Qatar",203882
"Export","Italy","Estonia",13298
"Export","Italy","North Macedonia",90584
"Export","Italy","Cyprus",184622
"Export","Italy","Portugal",2652
"Export","Italy","Croatia",2783384
"Export","Italy","Netherlands",1171072
"Import","Italy","Netherlands",2403640
"Import","Italy","Thailand",387756
"Export","Italy","Libya",760274
"Export","Italy","Canada",5827512
"Export","Italy","Malta",1215526
"Import","Italy","Cabo Verde",1546082
"Export","Italy","Saudi Arabia",2217832
"Import","Italy","Albania",861014
"Export","Italy","Russian Federation",209966
"Export","Italy","Montenegro",184140
"Import","Italy","Ecuador",30622082
"Export","Italy","Belgium",1812396
"Export","Italy","China, Hong Kong SAR",21204
"Export","Italy","Switzerland",2450442
"Import","Italy","El Salvador",7598874
"Export","Italy","Austria",3299236
"Export","Italy","Spain",5849856
"Export","Italy","Australia",214092
"Export","Italy","Sweden",61364
"Export","Italy","Finland",64528
"Export","Italy","United Kingdom",494612
"Import","Italy","Solomon Isds",12414212
"Import","Italy","Austria",29288
